,"Interval","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","TEXT","DISCRETE","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","TEXT","DISCRETE","DISCRETE","TEXT","TEXT","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","","TEXT","TEXT","","TEXT","TEXT","TEXT","","TEXT","TEXT","TEXT","","TEXT","TEXT","TEXT","","TEXT","TEXT","TEXT","","TEXT","TEXT","TEXT","","TEXT","TEXT","TEXT",""
,"Dataset Label","Student Unique ID","Id of School Unit","Id of School","school unit type","group: 0=control, 1=unconditionnal, 2=teachers, 3=inspectors, 4=machines","beneficiary type","region","province names","Household ID Tayssir Admin database","Student ID Tayssir Admin database","student gender","student age 2010","student age had a problem (<5 or >20)","theoretical grade in year 2","Survey code","Data entry code","V0 Comments","Surveyor","Visit date","Grade","Type of class","Is the teacher of this class present today? ","why ?","Does the school unit have electricity ?","What type of access to electricity? ","Class number","Student ID V0","row number on the survey","Student name","Student first Name ","Age","Gender","Father's first name","Mother's name","Mother's first name","Douar Name","Attendance","Attendance (if multiple entry in A9)","merge entre v0 et v1, =2 si pas dans v1","Student ID","Student ID used for the fieldwork","Student name","Student first name","grade june 08","Age June 08","gender","Father's first name","Mother's first name","Douar","Status beginning of the year (Setpember 2008)","Grade beginning of the year","Current status 2008","If dropped out date","If other school unit code","If other school unit Name","Current class number","Register call result","Data entry ID page","Data entry ID student","Problem with data entry (=1 or 3 if entered by Entry firm, entered by IPA)","Comments V1","Data entry ID","Student ID V2","Current status 2009","If dropped out date","If moved to another school: code","If moved to another school: name","Register call result","commentary V2","=1 if only in v1_v0, =2 if only in v3","V3 student ID","Student name","Student first name","Father's first name","Grade beginning of the year","Current class number","Current status 2009","If dropped out date","If moved to another school: code","If moved to another school: name","Register call result","row number on the survey","Id used for the fieldwork","Data entry student ID","Data entry page ID","Not prefilled on the survey at V3","V3 comments","Student ID V4","Data entry ID page","Page number","Row number","Student name","Student first name","grade june 2009","age june 2009","gender","Father's first name","Mother's Name","current status","If duplicates row number of the other duplicate","Current grade","repeated june 2009","If dropped out date","If moved to another school: code","If moved to another school: name","current grade","Register call result","Dummy for new student (was not in our database before V4)","Not in V4 survey","V4 comments","was a duplicate with another student (correction made)","row number on the survey","Current status 2009","If duplicates row number of the other duplicates","grade (prefilled on survey)","If dropped out date: month","If dropped out date: year","If moved to another school: code","If moved to another school: name","Register call result","dummy variable for student on V5 pre-filled survey","row number on the survey","Current status V6 2009","If duplicates row number of the other duplicates","grade (prefilled on survey)","If dropped out date: month","If dropped out date: year","If moved to another school: code","If moved to another school: name","Current Class","Register call result","status in 2007-08","2007-08 grade have to be corrected","grade in 2007-08","eleve sur quest Q3","status school year 2009-09","status school year 2007-08","student on form Q4","Visit 0: comments from road map","Visit 0: date (corrected)","Visit 0: School unit not reached","Visit 1: comments from road map","Visit 1: date (corrected)","matin/après-midi","Visit 1: School unit not reached","Visit 2: comments from road map","Visit 2: date (corrected)","matin/après-midi","Visit 2: School unit not reached","Visit 3: comments from road map","Visit 3: date (corrected)","Visit 3: time during the day","Visit 3: School unit not reached","Visit 4: comments from road map","Visit 4: date (corrected)","visit 4: time during the day","Visit 4: School unit not reached","Visit 5: comments from road map","Visit 5: date (corrected)","visit 5: time during the day","Visit 5: School unit not reached","Visit 6: comments from road map","Visit 6: date (corrected)","visit 6: time during the day","Visit 6: School unit not reached"
,"Imputed?","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
,"Unit of Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Question Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Valid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","text","text","text","text","","text","text","text","text","text","text","text","text","","text","text","text","text","text","","","","","","","","text","","text","text","","text","text","text","text","text","","","text","text","text","text","text","","","text","text","text","text","","","","text","text","text","","","text","text","text","text","text","text","","text","text","text","","text","text","text","text","text","text","","","","text","text","text","","","text","text","text","text","text","text","text","text","","text","text","","","text","text","text","","text","","","text","text","text","","","","text","text","text","","","text","text","text","text","text","text","","text","","","text","text","text","text","text","text","","","","","","","","","","text","text","","text","text","text","","text","text","text","","text","text","text","","text","text","text","","text","text","text","","text","text","text",""
,"Min","","","","","0","","","","","","","","","1","","","","","","0","0","0","0","0","0","1","","0","","","1","","","","","","0","88","","","","","","0","0","","","","","1","1","1","","","","1","1","","","","","","","1","","","","1","","","","","","","1","1","1","","","","1","1","","","","","","","","","1","","","0","3","","","","1","","1","1","","","","0","1","1","","","","1","1","","","","","","","1","","1","1","","","","","","","0","1","1","1","0","0","1","1","0","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0"
,"Max","","","","","4","","","","","","","","","8","","","","","","5","2","2","3","5","4","14","","60","","","99","","","","","","4","88","","","","","","6","99","","","","","6","6","6","","","","13","4","","","","","","","5","","","","4","","","","","","","6","13","6","","","","4","589","","","","","","","","","589","","","6","17","","","","8","","6","2","","","","14","4","1","","","","638","8","","","","","","","4","","638","8","","","","","","","14","4","4","2","6","1","6","6","1","","","1","","","","1","","","","1","","","","1","","","","1","","","","1","","","","1"
,"","","","","","","","","","","","","","","","","","","","","","1 = 1 single, 2 = 2 multiple","1 = 1 Yes, 2 = 2 No","1 = 1 Striking, 2 = 2 Absent, 3 = 3 Other, Specify","1 = 1 Yes, in all the school, 2 = 2 Yes, only in headmaster’s office, 3 = 3 Yes, chez les enseignants, 4 = 4 No","1 = 1 Connected to electricity network, 2 = 2 Generator, 3 = 3 Solar, 4 = 4 Other, Specify","","","","","","","","","","","","1 = 1 droppout, 2 = 2 present, 3 = 3 absent, 4 = 4 other specify","","","","","","","","","","","","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector), 5 = 5 unknown, 6 = 6 other","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector), 5 = 5 other","","","","","1 = 1 present, 2 = 2 absent, 3 = 3 Other, 4 = No school at that time","","","","","","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector), 5 = 5 other","","","","1 = 1 present, 2 = 2 absent, 4 = No school at that time","","","","","","","","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector), 5 = 5 other","","","","1 = 1 present, 2 = 2 absent, 4 = No school at that time","","","","","","","","","","","","","","","","","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector), 6 = 6 unknown, 8 = 8 Primary school completed","","","1 = 1 Yes, 2 = 2 No","","","","","1 = 1 present, 2 = 2 absent, 4 = No school at that time","","","","","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector)","","","","","","","1 = 1 present, 2 = 2 absent, 4 = No school at that time","","","1 = 1 enrolled, 2 = 2 dropped out, 3 = 3 moved to another school (same sector), 4 = 4 moved to another school (other sector), 8 = 8 Primary school completed","","","","","","","","1 = 1 present, 2 = 2 absent, 4 = No school at that time","","","","","","","","","","0 = 0 reached, 1 = 1 unreached","","","","0 = 0 reached, 1 = 1 unreached","","","","0 = 0 reached, 1 = 1 unreached","","","","0 = 0 reached, 1 = 1 unreached","","","","0 = 0 reached, 1 = 1 unreached","","","","0 = 0 reached, 1 = 1 unreached","","","","0 = 0 reached, 1 = 1 unreached"
,"Universe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Invalid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Min","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-99","","-99","","","","","-88","","","","","","","-99","","","","-88","","","","","","","","","-99","","","","-88","","","","","","","","","","","","","","","","","","-99","","","","","","","","-88","","","","","","-99","","","","","","","-99","","","-99","","","","","","","","-99","-99","","","","-99","-99","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Max","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-99","","-99","","","","","-88","","","","","","","-99","","","","-88","","","","","","","","","-99","","","","-88","","","","","","","","","","","","","","","","","","-99","","","","","","","","-88","","","","","","-99","","","","","","","-88","","","-99","","","","","","","","-88","-99","","","","-99","-99","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-99 = -99 DK","","-99 = -99 DK","","","","","-88 = -88 teacher absent","","","","","","","-99 = -99 DK","","","","-88 = -88 teacher absent","","","","","","","","","-99 = -99 DK","","","","-88 = -88 teacher absent","","","","","","","","","","","","","","","","","","-99 = -99 DK","","","","","","","","-88 = -88 teacher absent","","","","","","-99 = -99 DK","","","","","","","-88 = -88 teacher absent","","","-99 = -99 DK","","","","","","","","-88 = -88 teacher absent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sum Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total Responses","71355","71355","71355","71355","71355","57462","71355","71355","50200","50200","71355","69511","71355","71354","0","0","3369","42119","43275","43686","43054","43637","43637","43637","43637","43549","43637","43637","0","0","42179","41766","0","0","0","0","43667","1651","43558","59283","0","0","0","58651","53899","56642","0","0","0","58150","55465","55421","192","0","0","54474","51166","0","0","58704","512","0","57066","40833","412","0","0","49533","39416","59466","0","0","0","0","55194","54142","38326","611","0","0","47819","58686","58686","0","0","58686","758","58686","0","69307","69987","0","0","11917","11554","11815","0","0","69799","0","60330","59803","1558","0","0","60100","55188","11941","58686","801","58686","61423","53831","0","61370","1536","1535","0","0","48129","71059","62078","60995","0","62077","1936","1930","0","0","60074","55122","9445","9442","4999","71355","2596","2554","71355","3369","68701","71355","512","68833","71355","71355","2964","69320","71355","71355","6668","66902","65766","71355","2246","70850","55622","71355","8270","71142","69095","71355","2121","70928","70024","71355"
,"Mean","","","","","1.873057","","","","","","","","","3.558763","","","","","","2.764272","1.445348","1.088938",".2702981","2.85746",".3690217","2.50488","","11.30543","","","9.788947","","","","","","1.413745","88","","","","","","2.346217","9.453552","","","","","1.109458","3.098404","1.014092","","","","2.689742","1.865731","","","","","","","1.098915","","","","2.200735","","","","","","","3.099087","2.698515","1.085164","","","","2.25126","72.90792","","","","","","","","","63.14801","","",".4825879","6.921326","","","","1.70511","","3.167313","1.830176","","","","3.020083","2.175962","1","","","","77.26798","1.049098","","","","","","","2.181408","","77.01153","1.063481","","","","","","","3.019975","2.215939","1.949074","1.471193","1.165233",".1412795","1.859784","2.525842",".0420713","","",".0371943","","","",".0071754","","","",".0394506","","","",".0372504","","","",".0311821","","","",".1148063","","","",".0279027"
,"Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Stdev. ","","","","","1.36036","","","","","","","","","1.907942","","","","","","1.384461",".5091526",".4298277",".7547757","1.443352",".5339909","1.689937","","9.235433","","","3.025894","","","","","",".9965804","0","","","","","","1.650667","3.291379","","","","",".5640508","1.666333",".1927031","","","","1.84261","1.34377","","","","","","",".5282359","","","","1.459258","","","","","","","1.665433","1.848963",".4657065","","","","1.471651","70.77401","","","","","","","","","67.59538","","","1.147323","2.00146","","","","1.980098","","1.667833",".3754815","","","","2.205837","1.454203","0","","","","76.06935",".3083829","","","","","","","1.437523","","75.84008",".4158192","","","","","","","2.205859","1.459818","1.047703",".4991959","1.671353",".3483121","1.153859","1.311433",".2007533","","",".189239","","","",".0844038","","","",".1946659","","","",".189376","","","",".1738109","","","",".3187902","","","",".1646953"
,"Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Derivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Deriv. Des.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
